[2022-07-06 19:46:10] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=1, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:48:24] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=1, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:48:24] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=2, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:48:24] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=3, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:48:24] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=4, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:48:25] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=5, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:48:25] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=6, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:48:25] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=7, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:48:25] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=8, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:48:25] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=9, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:48:25] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=10, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:48:25] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=11, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:48:25] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=12, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:48:25] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=13, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:53:57] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=1, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:53:58] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=2, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:53:58] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=3, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:53:58] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=4, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:53:58] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=5, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:53:58] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=6, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:53:58] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=7, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:53:58] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=8, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:53:58] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=9, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:53:58] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=10, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:53:58] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=11, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:53:58] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=12, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 19:53:58] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=13, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 20:00:42] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=1, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 20:00:43] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=2, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 20:00:43] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=3, nombre=Sujeto, apellido=de Prueba, matricula=123355)
[2022-07-06 20:00:43] [INFO] [OdontologoService:34] Se guardó el odontólogo: OdontologoDTO(id=4, nombre=Sujeto, apellido=de Prueba, matricula=123355)
